Nom du Graphe.Graphe    	Temps_BellmanFord	Temps_Dijkstra    	Moy d'Arcs/Graphe.Noeud 	Ratio
Graphe221        	12821400         	3944400          	110,5            	80320,1737       
Graphe222        	16315700         	4471800          	112,7            	105087,2851      
Graphe223        	13692200         	4115600          	114,8            	83442,4738       
Graphe224        	17948900         	4592500          	118,9            	112326,3648      
Graphe225        	13964000         	4155400          	111,9            	87676,7946       
Graphe226        	17096800         	4171700          	108,0            	119623,4138      
Graphe227        	15736600         	4338000          	120,1            	94912,3482       
Graphe228        	12332500         	4051800          	107,8            	76840,1920       
Graphe229        	14085100         	4016500          	107,6            	93614,2725       
Graphe230        	14580100         	4242200          	110,7            	93366,2722       
Graphe231        	15088200         	4066100          	116,0            	95018,1034       
Graphe232        	13986700         	4666700          	126,6            	73638,5737       
Graphe233        	19866500         	4936900          	119,2            	125234,9099      
Graphe234        	16918200         	4915700          	117,8            	101880,7323      
Graphe235        	13055000         	4290200          	107,7            	81371,7330       
Graphe236        	15576500         	4701400          	109,6            	99197,9841       
Graphe237        	18982700         	4503700          	114,2            	126762,1891      
Graphe238        	19009600         	4717100          	121,1            	118071,0450      
Graphe239        	18342600         	4718900          	125,2            	108794,5823      
Graphe240        	14202500         	4542100          	127,4            	75856,3484       
Graphe241        	15608000         	5562700          	115,8            	86772,8805       
Graphe242        	18969900         	4364200          	125,6            	116288,9382      
Graphe243        	15311700         	5094100          	113,8            	89766,2710       
Graphe244        	18703400         	4809300          	117,5            	118198,5891      
Graphe245        	16545100         	4553300          	127,6            	93986,1844       
Graphe246        	14422200         	4707100          	126,5            	76821,2480       
Graphe247        	16423900         	4529400          	124,9            	95260,0592       
Graphe248        	15271800         	4391000          	113,5            	95862,7009       
Graphe249        	16099500         	4624800          	121,4            	94527,2145       
Graphe250        	14800600         	4799300          	127,2            	78654,5455       
Graphe251        	15799400         	5147500          	123,6            	86179,8695       
Graphe252        	16240100         	4566400          	116,9            	99896,2267       
Graphe253        	16761700         	4759800          	121,6            	98696,6526       
Graphe254        	18252900         	5633300          	130,8            	96502,6018       
Graphe255        	15770100         	4962100          	129,5            	83485,7984       
Graphe256        	21995700         	4834100          	123,4            	139060,7035      
Graphe257        	19750400         	6468300          	134,7            	98605,8962       
Graphe258        	18038800         	4995600          	127,6            	102253,3394      
Graphe259        	16145500         	5150200          	132,4            	83030,2144       
Graphe260        	22739200         	5555800          	130,2            	132017,2072      
Graphe261        	21294200         	5771900          	133,6            	116204,0619      
Graphe262        	21581500         	5943600          	135,6            	115344,3675      
Graphe263        	21321900         	5672800          	126,4            	123802,4748      
Graphe264        	22163200         	7586600          	138,8            	105021,0076      
Graphe265        	21613500         	5884300          	131,1            	119950,1999      
Graphe266        	24722700         	5929300          	134,3            	139976,4104      
Graphe267        	15802100         	6023300          	134,3            	72802,4244       
Graphe268        	19146500         	5872400          	144,8            	91671,9613       
Graphe269        	17848800         	5591100          	137,4            	89219,9372       
Graphe270        	18005400         	5689000          	134,6            	91484,2240       
Graphe271        	19609200         	5447900          	131,0            	108080,3718      
Graphe272        	23753300         	5932100          	141,4            	126003,3752      
Graphe273        	18905600         	6546800          	142,4            	86800,4086       
Graphe274        	20645400         	5648900          	134,4            	111609,3838      
Graphe275        	22186100         	6139700          	143,6            	111755,5326      
Graphe276        	19525400         	6047400          	148,7            	90633,6083       
Graphe277        	25652700         	6142900          	145,6            	134010,3944      
Graphe278        	28676900         	6042500          	143,6            	157617,2499      
Graphe279        	19400900         	6101100          	143,9            	92430,5345       
Graphe280        	30986700         	6258600          	150,3            	164511,7533      
Graphe281        	21544200         	6425700          	139,0            	108766,1871      
Graphe282        	18848700         	6417700          	135,5            	91765,5438       
Graphe283        	19016300         	6039700          	141,4            	91804,1703       
Graphe284        	26624600         	6184900          	145,3            	140675,1101      
Graphe285        	24694600         	6562700          	155,8            	116378,2914      
Graphe286        	23510100         	6552400          	145,0            	116955,2565      
Graphe287        	22712600         	6724500          	147,5            	108369,7469      
Graphe288        	23418800         	6258100          	142,1            	120779,6088      
Graphe289        	20429100         	6377400          	144,9            	96942,7383       
Graphe290        	26052200         	6656200          	158,1            	122650,4970      
Graphe291        	20240000         	6387100          	143,3            	96651,9752       
